Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL,GOOG,MO,AMZN,AEE
2000-01-03,27.481184005737305,6.7300047874450675,,18.25,,1.245553731918335,16.145748138427734,15.5,,29.73133087158203,24.190906524658203,5.521825313568115,44.8967170715332,18.74708366394043,321.25,7.926921844482423,5.670485496520996,15.847675323486328,7.375,,,30.054384231567386,,2.560070753097534,14.771851539611815,,,2.028961658477783,89.375,12.329019546508787
2000-01-04,26.389219284057614,6.537721633911133,,17.8125,,1.2076661586761477,14.791295051574707,14.625,,28.55233383178711,22.25727653503418,5.3752946853637695,41.46710968017578,18.17574691772461,300.0,7.827834606170653,5.670485496520996,15.499029159545898,6.9375,,,29.08835411071777,,2.560070753097534,14.300415992736815,,,2.0451931953430176,81.9375,12.329019546508787
2000-01-05,27.15358543395996,6.525703430175781,,18.0,,1.2124019861221311,15.083735466003418,15.0,,28.85990333557129,21.72244453430176,5.344447135925293,38.8948974609375,18.28287696838379,283.5,7.870299816131593,5.768930912017822,15.213770866394045,7.28125,,,29.62504577636719,,2.68538761138916,14.929001808166506,,,2.034372091293335,69.75,12.805965423583984
2000-01-06,29.33752632141113,6.7540388107299805,,18.03125,,1.1887223720550537,15.206868171691895,16.0,,29.09056854248047,22.38070106506348,5.452416896820068,37.41392135620117,19.496971130371094,236.125,7.87736701965332,5.965823173522949,14.928516387939453,7.75,,,30.054384231567386,,2.68538761138916,14.85042667388916,,,1.996498107910156,65.5625,12.758265495300293
2000-01-07,29.91991806030273,6.826149940490723,,17.9375,,1.2218739986419678,15.945663452148438,16.25,,29.65444374084473,22.91553497314453,5.560385227203369,40.53176498413086,20.853906631469727,248.375,8.167558670043945,5.867378234863281,15.213770866394045,8.25,,,32.14748001098633,,2.721193790435791,15.400445938110352,,,2.0506036281585693,69.5625,12.94904613494873
2000-01-10,29.77433204650879,6.778075218200684,,20.5,,1.2834413051605225,16.561328887939453,17.5,,30.98722839355469,23.49150657653809,5.228765964508057,42.9870491027832,19.56838798522949,285.5,8.026008605957031,5.847690105438232,15.40394687652588,8.28125,,,33.328182220458984,,2.7271616458892822,15.04686164855957,,,2.077656507492065,69.1875,12.853658676147461
2000-01-11,29.264726638793945,6.681935787200928,,19.8125,,1.3402726650238037,15.42234992980957,17.25,,31.14101409912109,23.40922546386719,5.120798587799072,42.40245819091797,18.675668716430664,278.4375,8.026008605957031,5.828001976013184,15.435647010803224,7.5,,,33.113487243652344,,2.721193790435791,15.00757884979248,,,2.0884771347045903,66.75,12.82980728149414
2000-01-12,29.33752632141113,6.621901512145996,,19.59375,,1.2834413051605225,15.345394134521484,18.125,,31.78176307678223,23.45036506652832,5.035965919494629,41.54505157470703,18.997047424316406,254.0,7.7995219230651855,5.867378234863281,15.213770866394045,7.40625,,,35.15290069580078,,2.751030683517456,15.086145401000975,,,2.099298477172852,63.5625,12.90135097503662
2000-01-13,29.33752632141113,6.5611510276794425,,21.0,,1.2976490259170532,16.161148071289062,18.875,,32.320003509521484,24.64345550537109,5.151647090911865,42.168617248535156,18.854217529296875,232.8125,7.785369396209718,5.946136951446532,15.277156829833984,8.71875,,,35.85060119628906,,2.7749011516571045,15.596883773803713,,,2.120941162109375,65.9375,12.94904613494873
2000-01-14,28.91893768310547,6.706954956054688,,21.375,,1.2834413051605225,16.330451965332028,20.1875,,34.139766693115234,25.178285598754886,5.298176765441895,42.63629531860352,18.49712562561035,230.0,7.742902278900146,5.828001976013184,15.372247695922852,8.65625,,,38.31936264038086,,2.7390952110290527,15.204011917114258,,,2.099298477172852,64.25,12.758265495300293
2000-01-18,28.281965255737305,6.5611510276794425,,26.0,,1.2881770133972168,15.760963439941404,19.5,,31.961185455322266,26.124530792236328,4.935708999633789,44.58493423461914,17.60441017150879,211.5,7.72874641418457,5.7098655700683585,15.40394687652588,8.265625,,,36.762962341308594,,2.721193790435791,15.125438690185547,,,1.9910870790481567,64.125,12.329019546508787
2000-01-19,28.77334213256836,6.427499294281006,,24.375,,1.269233465194702,15.54548454284668,19.59375,,32.14060592651367,25.79540252685547,4.642650127410889,43.64958953857422,17.64012336730957,224.75,7.544729232788086,5.729554653167725,15.340554237365724,8.53125,,,37.406986236572266,,2.745062828063965,14.811144828796387,,,2.0235509872436523,66.8125,12.639030456542967
2000-01-20,27.699581146240234,6.233095169067383,,23.5,,1.1981942653656006,15.714791297912598,19.5,,31.858665466308594,25.75425910949707,5.020541191101074,42.48040390014648,17.06877326965332,234.0,7.360713005065918,5.65079402923584,15.340554237365724,9.96875,,,36.4946174621582,,2.8524787425994877,14.929001808166506,,,1.9545642137527464,64.75,12.59134006500244
2000-01-21,27.64499282836914,6.062989711761475,,29.4375,,1.1460988521575928,15.483920097351074,18.9375,,32.80698776245117,24.35546684265137,4.781466007232666,42.87013244628906,16.533149719238278,269.0,7.205006122589111,5.729554653167725,15.277156829833984,11.03125,,,34.77722549438477,,3.1926279067993164,14.771851539611815,,,1.904519200325012,62.0625,12.686726570129395
2000-01-24,27.00800895690918,5.832135677337647,,31.375,,1.136626958847046,14.9144287109375,17.25,,32.80698776245117,24.314327239990234,4.727482795715332,42.7142448425293,17.247323989868164,262.0625,6.822813034057617,5.6311073303222665,15.213770866394045,11.765625,,,33.596519470214844,,3.3060104846954346,14.339704513549805,,,1.904519200325012,70.125,12.758265495300293
